メンバー,プロフィールのリンク,現在のレベル,このレベルでの合計期間（月）,メンバーとしての合計期間（月）,前回の更新,前回の更新のタイムスタンプ
おれお,https://www.youtube.com/channel/UCpqnblYrSGPZup9Cu14lVPg,🟨ベテラン探検隊　“正解”は、自分で創る時代へ。,0.0322581,0.0322581,アップグレード,2026-01-07T08:26:32.176-08:00
Mochi,https://www.youtube.com/channel/UCJF-99Wk5TcYQVUeY-7Gk3A,🟨ベテラン探検隊　“正解”は、自分で創る時代へ。,0.0322581,0.0322581,加入,2026-01-06T17:43:09.266-08:00
you h,https://www.youtube.com/channel/UC0RXicpEY7uLl6Bnsx4Nr_w,🟦化石探検隊　🔰ここから、“俺”を見つける。,4.06452,4.06452,再加入,2026-01-06T05:29:22.307-08:00
志遠,https://www.youtube.com/channel/UC7Ua9qxmkHYD2mi4Wk9vxuA,🟥エゴイスト　“お前の存在”を証明する場所だ,4.06452,5.12903,再加入,2026-01-06T00:19:16.403-08:00
白金,https://www.youtube.com/channel/UCdhCO1qBUhwLHQUPdUx1mLQ,🟦化石探検隊　🔰ここから、“俺”を見つける。,0.16129,0.16129,加入,2026-01-03T04:50:10.407-08:00
YOSHI,https://www.youtube.com/channel/UCQq1somV4QVytYOT1UOgYaA,🟨ベテラン探検隊　“正解”は、自分で創る時代へ。,0.16129,0.193548,アップグレード,2026-01-03T03:46:12.194-08:00
a-kun,https://www.youtube.com/channel/UCAnvxiENuXlGnJnRTvSebmw,🟦化石探検隊　🔰ここから、“俺”を見つける。,0.225806,0.225806,加入,2026-01-01T03:06:58.276-08:00
サトケン,https://www.youtube.com/channel/UCDtdMuZL8qQuegLjdff0NoA,🟨ベテラン探検隊　“正解”は、自分で創る時代へ。,6.25806,7.25806,再加入,2025-12-31T14:19:52.011-08:00
たるたる,https://www.youtube.com/channel/UCctDQBCYhkeRiUkpCvYd9bg,🟦化石探検隊　🔰ここから、“俺”を見つける。,4.25806,4.25806,再加入,2025-12-31T09:15:50.931-08:00
えぎ,https://www.youtube.com/channel/UCt_BhrmfpeD5drn-axpT0fg,🟦化石探検隊　🔰ここから、“俺”を見つける。,1.25806,1.25806,再加入,2025-12-31T07:29:25.716-08:00
,,🟦化石探検隊　🔰ここから、“俺”を見つける。,0.290323,0.290323,加入,2025-12-30T12:07:43.641-08:00
月翔,https://www.youtube.com/channel/UC6k1k8v7zHXtc5CcAZ_U5vw,🟦化石探検隊　🔰ここから、“俺”を見つける。,0.290323,0.290323,加入,2025-12-30T04:19:01.702-08:00
ぽちゃん,https://www.youtube.com/channel/UC1GKG7Vqn61cVCt-5vnL7VA,🟦化石探検隊　🔰ここから、“俺”を見つける。,0.290323,0.290323,加入,2025-12-29T19:30:45.526-08:00
ほこり,https://www.youtube.com/channel/UC1uX9I65pNUFTcgQnx9G2Hw,🟦化石探検隊　🔰ここから、“俺”を見つける。,0.322581,0.322581,加入,2025-12-29T07:12:06.674-08:00
大イカオヤジ,https://www.youtube.com/channel/UCvSstbtGT8c35wjZn14aYpA,🟥エゴイスト　“お前の存在”を証明する場所だ,0.387097,0.387097,アップグレード,2025-12-26T22:43:44.729-08:00
チーズケーキ,https://www.youtube.com/channel/UCE0pLMpdvCKG1p6_BKLzVlA,🟦化石探検隊　🔰ここから、“俺”を見つける。,0.451613,0.451613,加入,2025-12-25T06:44:48.714-08:00
ハルハナ,https://www.youtube.com/channel/UC0Gk5v2c8nRndxJxIisir0g,🟥エゴイスト　“お前の存在”を証明する場所だ,6.42581,7.22581,再加入,2025-12-25T02:15:59.539-08:00
わんわんオ,https://www.youtube.com/channel/UCqvtaPwYc_pWSKLz9xa-UFQ,🟦化石探検隊　🔰ここから、“俺”を見つける。,5.58065,5.58065,再加入,2025-12-20T20:09:00.64-08:00
Kaede,https://www.youtube.com/channel/UCphNJSb5Nmd-iSSk31NqdEQ,🟦化石探検隊　🔰ここから、“俺”を見つける。,2.74194,2.74194,再加入,2025-12-16T02:02:44.955-08:00
Gackt,https://www.youtube.com/channel/UCpE6uGld1CLmOENBZIWrvfQ,🟦化石探検隊　🔰ここから、“俺”を見つける。,6.87097,6.87097,再加入,2025-12-12T06:06:44.623-08:00
とわ,https://www.youtube.com/channel/UCcbkwFEXhyAGzL1kiE5MJYA,🟦化石探検隊　🔰ここから、“俺”を見つける。,6.87097,6.87097,再加入,2025-12-11T21:58:32.806-08:00
ぐらのえる,https://www.youtube.com/channel/UC44RQH6EiTmCwySVtEUofFQ,🟦化石探検隊　🔰ここから、“俺”を見つける。,0.903226,0.903226,加入,2025-12-11T06:38:40.096-08:00
ゆらせ,https://www.youtube.com/channel/UC_HVAB-xLiSVKdF0Xx7NLWw,🟦化石探検隊　🔰ここから、“俺”を見つける。,6.90323,6.90323,再加入,2025-12-10T23:29:36.997-08:00
Daaa,https://www.youtube.com/channel/UC-JmzsLPGnn5dhFJ-PVct4A,🟨ベテラン探検隊　“正解”は、自分で創る時代へ。,5.96774,5.96774,再加入,2025-12-10T03:29:48.087-08:00
イブ,https://www.youtube.com/channel/UCnuzY_jDXZxOcdyL1bL62SQ,🟦化石探検隊　🔰ここから、“俺”を見つける。,1,1,加入,2025-12-08T05:50:04.504-08:00
さいとうで〜す,https://www.youtube.com/channel/UCJBAh_Y0J6rUwf6vc7HpCEQ,🟦化石探検隊　🔰ここから、“俺”を見つける。,6,6,再加入,2025-12-08T04:46:06.513-08:00
nagia,https://www.youtube.com/channel/UCXZUtViA5X1Z9hrrOp7id8g,🟨ベテラン探検隊　“正解”は、自分で創る時代へ。,5.22581,7.22581,再加入,2025-12-01T03:29:58.314-08:00
Simone,https://www.youtube.com/channel/UCrYIeaOy_bVfrBZ5pavZV0w,🟨ベテラン探検隊　“正解”は、自分で創る時代へ。,0.548387,3.22581,アップグレード,2025-12-21T23:54:05.154-08:00
たか,https://www.youtube.com/channel/UCtt859CYruGF-l05_FImGRw,🟦化石探検隊　🔰ここから、“俺”を見つける。,4.29032,4.29032,再加入,2025-11-30T07:28:23.525-08:00
さとる,https://www.youtube.com/channel/UCHQiCefDGlpe7384xzokDKg,🟦化石探検隊　🔰ここから、“俺”を見つける。,1.41935,1.41935,加入,2025-11-26T00:00:29.537-08:00
りひまる,https://www.youtube.com/channel/UCZxWr2PrFYHGNOVDu6bKjHA,🟨ベテラン探検隊　“正解”は、自分で創る時代へ。,0.193548,1.54839,アップグレード,2026-01-02T06:35:07.434-08:00
兎月 宙/togetsu sora【DLZ】,https://www.youtube.com/channel/UC0LP4Ds6Feql56Lxny5IfaA,🟥エゴイスト　“お前の存在”を証明する場所だ,1.6129,1.6129,加入,2025-11-20T05:46:04.609-08:00
みなパ,https://www.youtube.com/channel/UCSkNUpyMeEJMRT1HSQ1aOaQ,🟦化石探検隊　🔰ここから、“俺”を見つける。,2.6129,2.6129,再加入,2025-11-20T00:44:39.591-08:00
みけねこ,https://www.youtube.com/channel/UC3XDj2hqXU_X7Gw_E9icGMQ,🟦化石探検隊　🔰ここから、“俺”を見つける。,1.6129,1.6129,加入,2025-11-19T21:32:22.994-08:00
薬師寺,https://www.youtube.com/channel/UCCFkYyXFRVioJNT2pSQ4Gfg,🟦化石探検隊　🔰ここから、“俺”を見つける。,3.74194,3.74194,再加入,2025-11-16T06:10:18.623-08:00
キルキル,https://www.youtube.com/channel/UCYJwN31-g8DTd9HEVF_oGQw,🟦化石探検隊　🔰ここから、“俺”を見つける。,1.80645,1.80645,加入,2025-11-14T08:31:26.875-08:00
るぅー,https://www.youtube.com/channel/UCkcvz2oXPHPgntMAngBXsXw,🟦化石探検隊　🔰ここから、“俺”を見つける。,6.87097,6.87097,再加入,2025-11-12T02:14:23.922-08:00
紙袋にいと,https://www.youtube.com/channel/UCI3YzLijUSLnVt6c_FfCDIg,🟦化石探検隊　🔰ここから、“俺”を見つける。,2.90323,2.90323,再加入,2025-11-11T10:40:46.165-08:00
よっこらせ,https://www.youtube.com/channel/UCDmSK3gokakQ19c1HtQa8PQ,🟦化石探検隊　🔰ここから、“俺”を見つける。,3.93548,3.93548,再加入,2025-11-10T04:59:15.807-08:00
トレモロ,https://www.youtube.com/channel/UCpIkrsgnyecqlQiW8cJ6itw,🟦化石探検隊　🔰ここから、“俺”を見つける。,2.19355,2.19355,加入,2025-11-02T01:22:09.423-07:00
もちゅ,https://www.youtube.com/channel/UC6ezqTOyRMxdBkmS_POM7IQ,🟦化石探検隊　🔰ここから、“俺”を見つける。,2.19355,2.19355,加入,2025-11-02T00:19:50.729-07:00
への,https://www.youtube.com/channel/UCKxgrOQalbCrAcQSBi4WYtg,🟦化石探検隊　🔰ここから、“俺”を見つける。,6.54839,6.54839,再加入,2025-10-31T23:55:03.188-07:00
